column,dtype,null_pct,unique,sample
order_proc_id_coded,int64,0.0,118767,"[300712252, 300722884, 300924693]"
anon_id,str,0.0,67011,"['JC771725', 'JC772161', 'JC534392']"
pat_enc_csn_id_coded,int64,0.0,117018,"[14861765, 14849128, 14860885]"
order_time_jittered_utc,"datetime64[us, UTC]",0.0,115981,"[Timestamp('2008-03-03 04:29:00+0000', tz='UTC'), Timestamp('2008-03-07 02:05:00+0000', tz='UTC'), Timestamp('2008-04-06 03:59:00+0000', tz='UTC')]"
ordering_mode,str,0.0,2,"['Outpatient', 'Outpatient', 'Outpatient']"
culture_description,str,0.0,3,"['URINE', 'URINE', 'URINE']"
was_positive,int64,0.0,1,"[1, 1, 1]"
n_organisms,int64,0.0,7,"[1, 1, 1]"
n_antibiotics,int64,0.0,33,"[8, 5, 8]"
organisms,str,0.0,1639,"['ESCHERICHIA COLI', 'ENTEROCOCCUS SPECIES', 'ESCHERICHIA COLI']"
antibiotics,str,0.0,3769,"['Ampicillin; Cefazolin; Ciprofloxacin; Gentamicin; Levofloxacin; Nitrofurantoin; Piperacillin/Tazobactam; Trimethoprim/Sulfamethoxazole', 'Ampicillin; Ciprofloxacin; Levofloxacin; Nitrofurantoin; Tetracycline', 'Ampicillin; Cefazolin; Ciprofloxacin; Gentamicin; Levofloxacin; Nitrofurantoin; Piperacillin/Tazobactam; Trimethoprim/Sulfamethoxazole']"
susceptibilities,str,0.0,24,"['Susceptible', 'Resistant; Susceptible', 'Susceptible']"
culture_year,int64,0.0,18,"[2008, 2008, 2008]"
culture_month,int64,0.0,12,"[3, 3, 4]"
culture_quarter,int64,0.0,4,"[1, 1, 2]"
culture_date,"datetime64[us, UTC]",0.0,5853,"[Timestamp('2008-03-02 23:00:00+0000', tz='UTC'), Timestamp('2008-03-06 23:00:00+0000', tz='UTC'), Timestamp('2008-04-05 23:00:00+0000', tz='UTC')]"
polymicrobial,int32,0.0,2,"[0, 0, 0]"
n_prior_meds,float64,0.0,388,"[8.0, 8.0, 8.0]"
n_prior_classes,float64,0.0,37,"[4.0, 4.0, 4.0]"
days_since_last_antibiotic,float64,0.0,2514,"[0.0, 0.0, 0.0]"
n_abx_exposures,float64,0.0,236,"[6.0, 6.0, 6.0]"
class_Aminoglycoside,int64,0.0,82,"[0, 0, 0]"
class_Ansamycin,int64,0.0,42,"[0, 0, 0]"
class_Antitubercular,int64,0.0,24,"[0, 0, 0]"
class_Beta Lactam,int64,0.0,108,"[0, 0, 0]"
class_Combination Antibiotic,int64,0.0,57,"[0, 0, 0]"
class_Fluoroquinolone,int64,0.0,85,"[0, 0, 0]"
class_Folate Synthesis Inhibitor,int64,0.0,13,"[0, 0, 0]"
class_Fosfomycin,int64,0.0,20,"[0, 0, 0]"
class_Glycopeptide,int64,0.0,47,"[0, 0, 0]"
class_Macrolide Lincosamide,int64,0.0,58,"[0, 0, 0]"
class_Monobactam,int64,0.0,12,"[0, 0, 0]"
class_Nitrofuran,int64,0.0,53,"[0, 0, 0]"
class_Nitroimidazole,int64,0.0,33,"[0, 0, 0]"
class_Oxazolidinone,int64,0.0,34,"[0, 0, 0]"
"class_Polymyxin, Lipopeptide",int64,0.0,22,"[0, 0, 0]"
class_Sulfonamide,int64,0.0,22,"[0, 0, 0]"
class_Tetracycline,int64,0.0,39,"[0, 0, 0]"
class_Urinary Antiseptic,int64,0.0,26,"[0, 0, 0]"
creatinine,str,0.0,395,"['Null', 'Null', 'Null']"
bun,str,0.0,113,"['Null', 'Null', 'Null']"
wbc,str,0.0,414,"['Null', 'Null', 'Null']"
neutrophils,str,0.0,284,"['Null', 'Null', 'Null']"
lymphocytes,str,0.0,284,"['Null', 'Null', 'Null']"
lactate,str,0.0,365,"['Null', 'Null', 'Null']"
procalcitonin,str,0.0,155,"['Null', 'Null', 'Null']"
heartrate,str,0.0,158,"['Null', 'Null', 'Null']"
resp_rate,str,0.0,50,"['Null', 'Null', 'Null']"
temperature,str,0.0,126,"['Null', 'Null', 'Null']"
sys_bp,str,0.0,180,"['Null', 'Null', 'Null']"
dias_bp,str,0.0,131,"['Null', 'Null', 'Null']"
age,float64,0.0,8,"[87.0, 69.5, 69.5]"
gender_male,float64,0.0,1,"[-1.0, -1.0, -1.0]"
inpatient,int64,0.0,2,"[0, 0, 0]"
outpatient,int64,0.0,2,"[1, 1, 1]"
emergency,int64,0.0,2,"[0, 0, 0]"
icu,int64,0.0,2,"[0, 0, 0]"
has_any_procedure,float64,0.0,1,"[1.0, 1.0, 1.0]"
has_urinary_catheter,float64,0.0,2,"[0.0, 0.0, 0.0]"
has_cvc,float64,0.0,2,"[0.0, 0.0, 0.0]"
days_since_last_prior_organism,float64,0.0,3211,"[146.0, 146.0, 146.0]"
n_prior_organisms,float64,0.0,143,"[3.0, 3.0, 3.0]"
nursing_home_visit,float64,0.0,38,"[0.0, 0.0, 0.0]"
adi_score,str,0.0,100,"['Null', '1', '1']"
adi_state_rank,str,0.0,11,"['Null', '1', '1']"
n_abx_classes_exposed,int64,0.0,16,"[0, 0, 0]"
age_group,category,5.41,5,"['80+', '66-80', '66-80']"
log_days_since_abx,float64,0.0,2514,"[0.0, 0.0, 0.0]"
