,count,mean,std,min,25%,50%,75%,max
order_proc_id_coded,118767.0,578964091.3135887,167451551.17355108,300712252.0,436964065.5,550333230.0,710224940.0,928548118.0
pat_enc_csn_id_coded,118767.0,124968178760.80257,27917042295.30705,5508325.0,131030522087.0,131244757023.0,131304316411.5,131368698957.0
was_positive,118767.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
n_organisms,118767.0,1.1219109685350308,0.3612814933713721,1.0,1.0,1.0,1.0,7.0
n_antibiotics,118767.0,12.699664048094167,4.8462067597798875,1.0,9.0,13.0,17.0,34.0
culture_year,118767.0,2016.95193109197,4.3324987280398055,2007.0,2014.0,2018.0,2021.0,2024.0
culture_month,118767.0,6.612737544940935,3.4145369794915807,1.0,4.0,7.0,10.0,12.0
culture_quarter,118767.0,2.539274377562791,1.1104662823385443,1.0,2.0,3.0,4.0,4.0
polymicrobial,118767.0,0.11125986174610793,0.3144549848247848,0.0,0.0,0.0,0.0,1.0
n_prior_meds,118767.0,16.720595788392398,29.036415094982758,1.0,4.0,8.0,17.0,748.0
n_prior_classes,118767.0,5.000193656487071,4.264852656977228,1.0,2.0,4.0,6.0,38.0
days_since_last_antibiotic,118767.0,99.34361396684264,333.59601886117747,0.0,0.0,0.0,31.0,5443.0
n_abx_exposures,118767.0,10.866688558269553,16.753521016878413,1.0,4.0,6.0,10.0,279.0
class_Aminoglycoside,118767.0,0.19129050999014877,2.1879718565879998,0.0,0.0,0.0,0.0,189.0
class_Ansamycin,118767.0,0.1498564416041493,1.184568866889368,0.0,0.0,0.0,0.0,59.0
class_Antitubercular,118767.0,0.04500408362592303,0.5282103972626141,0.0,0.0,0.0,0.0,29.0
class_Beta Lactam,118767.0,3.140518830988406,6.370068585501443,0.0,0.0,1.0,4.0,127.0
class_Combination Antibiotic,118767.0,0.7886870932161291,2.6246434704043096,0.0,0.0,0.0,0.0,70.0
class_Fluoroquinolone,118767.0,1.706164170181953,4.662339975940421,0.0,0.0,0.0,2.0,151.0
class_Folate Synthesis Inhibitor,118767.0,0.013665412109424334,0.2639251334439473,0.0,0.0,0.0,0.0,42.0
class_Fosfomycin,118767.0,0.04457467141546052,0.4785271955278639,0.0,0.0,0.0,0.0,21.0
class_Glycopeptide,118767.0,0.2698645246575227,1.3929039086347181,0.0,0.0,0.0,0.0,54.0
class_Macrolide Lincosamide,118767.0,1.152272937768909,3.3173192350196032,0.0,0.0,0.0,1.0,89.0
class_Monobactam,118767.0,0.022043160137075114,0.3203241685095271,0.0,0.0,0.0,0.0,24.0
class_Nitrofuran,118767.0,0.6790101627556476,2.260444577939099,0.0,0.0,0.0,0.0,55.0
class_Nitroimidazole,118767.0,0.3401365699226216,1.2788031825308552,0.0,0.0,0.0,0.0,41.0
class_Oxazolidinone,118767.0,0.10466712133841892,0.9605310859713008,0.0,0.0,0.0,0.0,35.0
"class_Polymyxin, Lipopeptide",118767.0,0.05640455682133926,0.6383704623446285,0.0,0.0,0.0,0.0,24.0
class_Sulfonamide,118767.0,0.03887443481775241,0.4481005904760739,0.0,0.0,0.0,0.0,30.0
class_Tetracycline,118767.0,0.2571337155943991,1.2174613036264372,0.0,0.0,0.0,0.0,51.0
class_Urinary Antiseptic,118767.0,0.048489900393206865,0.6055454588440645,0.0,0.0,0.0,0.0,25.0
age,118767.0,56.850577180529946,19.68022550951596,21.0,39.5,59.5,69.5,87.0
gender_male,118767.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
inpatient,118767.0,0.5383145149746984,0.4985319353475121,0.0,0.0,1.0,1.0,1.0
outpatient,118767.0,0.42192696624483234,0.49386906671409037,0.0,0.0,0.0,1.0,1.0
emergency,118767.0,0.31901959298458327,0.4660986177525646,0.0,0.0,0.0,1.0,1.0
icu,118767.0,0.04214975540343698,0.2009315641244946,0.0,0.0,0.0,0.0,1.0
has_any_procedure,118767.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
has_urinary_catheter,118767.0,0.07016258725066728,0.25542190179137864,0.0,0.0,0.0,0.0,1.0
has_cvc,118767.0,0.1658878307947494,0.37198148266427095,0.0,0.0,0.0,0.0,1.0
days_since_last_prior_organism,118767.0,263.38158747800315,446.677467081486,1.0,146.0,146.0,146.0,5622.0
n_prior_organisms,118767.0,4.621325789150185,7.47594670340916,1.0,3.0,3.0,3.0,154.0
nursing_home_visit,118767.0,0.020283412058905253,0.6359587286461943,0.0,0.0,0.0,0.0,81.0
n_abx_classes_exposed,118767.0,2.2530753492131654,2.2603708420610085,0.0,0.0,2.0,4.0,15.0
log_days_since_abx,118767.0,1.547965112779662,2.3451488098072675,0.0,0.0,0.0,3.4657359027997265,8.602269363771356
