feature,importance
Amoxicillin/Clavulanic Acid,0.49655515364401154
Ampicillin,0.1488589194765263
days_since_last_prior_organism,0.028867740160462393
n_prior_meds,0.026829475550637773
Aztreonam,0.02480911881256649
n_prior_organisms,0.022112191822945104
n_prior_classes,0.01866841124433897
adi_score,0.018102252434297122
log_days_since_abx,0.01727190095328952
days_since_last_antibiotic,0.01713973273462133
heartrate,0.015329461866785559
sys_bp,0.014912951980573299
dias_bp,0.014534305174686563
n_abx_classes_exposed,0.013282263368987987
age,0.013142162080408401
adi_state_rank,0.010838343753147338
wbc,0.00977052712241084
temperature,0.00956012666982844
resp_rate,0.006978735176675687
Cefepime,0.006043411991767739
Ampicillin/Sulbactam,0.005948805909030852
emergency,0.005418417537552984
creatinine,0.005217549563808141
has_cvc,0.004757773766096328
has_urinary_catheter,0.004570447088575707
bun,0.004384486026547034
lactate,0.004027374549700842
age_group_19-30,0.004022358682927475
inpatient,0.0037445745661517627
outpatient,0.003500593984918407
Clarithromycin,0.002742801074662317
age_group_31-50,0.002584446521162148
age_group_66-80,0.002573496425311551
icu,0.0024473324103838783
neutrophils,0.00194592106590889
lymphocytes,0.001894284698364391
age_group_51-65,0.001771422192501674
age_group_nan,0.001723498327139655
age_group_80+,0.0013319245537987607
nursing_home_visit,0.0007329542018364786
procalcitonin,0.0005254736947697224
Cefoxitin,0.00039010791786015143
Cefazolin,0.00011410326482354068
Ceftazidime,1.2924350355219076e-05
Clindamycin,9.741606843592557e-06
has_any_procedure,0.0
gender_male,0.0
Ceftaroline,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Ciprofloxacin,0.0
Ceftriaxone,0.0
Cefuroxime,0.0
Gentamicin,0.0
Levofloxacin,0.0
