feature,mean_abs_shap
Amoxicillin/Clavulanic Acid,0.16939844407292143
Ampicillin,0.05470530625070372
Aztreonam,0.012522195568722569
age,0.01213864334602391
n_prior_meds,0.011311897276435967
age_group_19-30,0.008037187399719585
emergency,0.007885686861852995
n_prior_organisms,0.007619936383702257
n_prior_classes,0.0071122007675403776
days_since_last_prior_organism,0.0059626700334104
inpatient,0.005163537494950352
n_abx_classes_exposed,0.0043323000980088865
age_group_66-80,0.0038537933918586205
has_urinary_catheter,0.0035857312390705897
has_cvc,0.003560064233264419
log_days_since_abx,0.0032759924066477607
adi_score,0.0032609366617641507
Cefepime,0.003127412506505353
days_since_last_antibiotic,0.002970703220403808
outpatient,0.002422071608702755
age_group_31-50,0.00213535309350944
adi_state_rank,0.002088369265504488
icu,0.0020653482849204365
sys_bp,0.001996996479440671
dias_bp,0.001555949004850499
wbc,0.001233342456937437
heartrate,0.0012327832914389156
age_group_nan,0.0010333263130153133
age_group_51-65,0.0010155950895358646
Ampicillin/Sulbactam,0.000849918767398775
resp_rate,0.0007180246116832667
temperature,0.0006822771996880816
bun,0.0005070146103404693
age_group_80+,0.000497926814087771
Clarithromycin,0.0004569925706128596
creatinine,0.0003973876191635399
lactate,0.00037817801025152485
procalcitonin,0.00020780530267948042
nursing_home_visit,0.00015096073826119838
neutrophils,0.00012591637037621706
lymphocytes,9.473432436077246e-05
Cefoxitin,6.460101391002271e-05
Cefazolin,1.70332622904427e-05
Ceftazidime,2.013127689486628e-06
Clindamycin,1.2218433923563543e-06
has_any_procedure,0.0
gender_male,0.0
Ceftaroline,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Ciprofloxacin,0.0
Ceftriaxone,0.0
Cefuroxime,0.0
Gentamicin,0.0
Levofloxacin,0.0
