feature,importance
Amikacin,0.83880913
Ampicillin,0.08840679
Cefazolin,0.00928734
emergency,0.0031499483
outpatient,0.0026514323
inpatient,0.0023298385
has_urinary_catheter,0.0021584744
icu,0.0021259878
lactate,0.0019277952
wbc,0.0018797398
creatinine,0.0018601298
days_since_last_prior_organism,0.0018564056
n_abx_classes_exposed,0.0018322584
dias_bp,0.0018307004
procalcitonin,0.0018249074
n_prior_meds,0.0018018867
days_since_last_antibiotic,0.0017860127
heartrate,0.0017696964
nursing_home_visit,0.0017618005
sys_bp,0.0017578697
n_prior_classes,0.0017498187
adi_state_rank,0.0017187152
has_cvc,0.0017159069
log_days_since_abx,0.001699857
bun,0.0016970875
temperature,0.0016941916
lymphocytes,0.0016931071
age_group_nan,0.0016870515
adi_score,0.0016755766
age_group_51-65,0.0016626286
n_prior_organisms,0.0016425253
resp_rate,0.0016095297
neutrophils,0.0015828595
age,0.00157016
age_group_31-50,0.0015608153
age_group_19-30,0.0014968041
age_group_80+,0.001496672
age_group_66-80,0.0012386142
gender_male,0.0
has_any_procedure,0.0
Ceftazidime,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Aztreonam,0.0
Ampicillin/Sulbactam,0.0
Ceftriaxone,0.0
Cefuroxime,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
Clarithromycin,0.0
Ciprofloxacin,0.0
Gentamicin,0.0
Levofloxacin,0.0
