feature,mean_abs_shap
Amikacin,2.0397651
Ampicillin,0.36843652
outpatient,0.11081798
inpatient,0.110723495
emergency,0.09723729
n_prior_classes,0.083084
n_prior_meds,0.082930304
n_abx_classes_exposed,0.07725204
days_since_last_prior_organism,0.06204075
adi_score,0.048517063
days_since_last_antibiotic,0.04717261
n_prior_organisms,0.039409466
age,0.038884994
has_urinary_catheter,0.038076226
has_cvc,0.03706795
adi_state_rank,0.036845196
dias_bp,0.03488444
Cefazolin,0.033917464
heartrate,0.032223415
sys_bp,0.02794058
bun,0.022857895
resp_rate,0.020461218
log_days_since_abx,0.019347012
creatinine,0.017868202
temperature,0.017327605
wbc,0.014389011
age_group_66-80,0.011850757
lactate,0.0107979765
age_group_51-65,0.010515123
icu,0.008625956
age_group_31-50,0.008024149
age_group_nan,0.0060357302
age_group_19-30,0.0054788035
neutrophils,0.0030988317
lymphocytes,0.0016928324
age_group_80+,0.0014757755
nursing_home_visit,0.00060269627
procalcitonin,3.0070929e-05
gender_male,0.0
has_any_procedure,0.0
Ceftazidime,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Aztreonam,0.0
Ampicillin/Sulbactam,0.0
Ceftriaxone,0.0
Cefuroxime,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
Clarithromycin,0.0
Ciprofloxacin,0.0
Gentamicin,0.0
Levofloxacin,0.0
