feature,importance
Amoxicillin/Clavulanic Acid,0.3315704
Amikacin,0.21972755
Ampicillin/Sulbactam,0.14223206
Cefazolin,0.06699648
Ciprofloxacin,0.054189134
outpatient,0.012206036
icu,0.01132162
Cefepime,0.007061176
adi_state_rank,0.006883953
Daptomycin,0.006653329
age_group_19-30,0.006549509
inpatient,0.006293321
n_prior_classes,0.0049666
procalcitonin,0.0045267935
days_since_last_antibiotic,0.0044810884
Aztreonam,0.004476806
neutrophils,0.004417994
lactate,0.004399913
emergency,0.0043981657
adi_score,0.0043579233
n_abx_classes_exposed,0.004324935
days_since_last_prior_organism,0.0042363172
lymphocytes,0.0040534367
n_prior_meds,0.0040532975
has_cvc,0.003980975
log_days_since_abx,0.0038883686
has_urinary_catheter,0.0038600166
n_prior_organisms,0.0038447108
age,0.0038357337
wbc,0.0037865262
nursing_home_visit,0.003612102
resp_rate,0.0035411548
temperature,0.0034811245
age_group_66-80,0.0034655207
age_group_nan,0.003460206
heartrate,0.003439914
sys_bp,0.0034298904
creatinine,0.0033851243
bun,0.0032666116
age_group_31-50,0.0032553095
dias_bp,0.003186004
Levofloxacin,0.003152532
Cefoxitin,0.0031390965
age_group_51-65,0.0031101753
Doxycycline,0.0030620226
age_group_80+,0.0024391187
gender_male,0.0
has_any_procedure,0.0
Ceftazidime,0.0
Ceftaroline,0.0
Erythromycin,0.0
Clarithromycin,0.0
Ceftriaxone,0.0
Clindamycin,0.0
Cefuroxime,0.0
Gentamicin,0.0
