feature,mean_abs_shap
Amikacin,0.6943735
Amoxicillin/Clavulanic Acid,0.4058549
Ampicillin/Sulbactam,0.33095643
inpatient,0.22495295
adi_score,0.15722813
n_prior_classes,0.12608357
outpatient,0.12411026
Ciprofloxacin,0.11826736
age,0.0950299
adi_state_rank,0.088349044
days_since_last_prior_organism,0.07757845
n_abx_classes_exposed,0.0739145
n_prior_meds,0.07277007
days_since_last_antibiotic,0.064436056
Cefazolin,0.059673175
icu,0.03807076
log_days_since_abx,0.029107299
n_prior_organisms,0.027103528
age_group_19-30,0.026087396
heartrate,0.023293989
has_cvc,0.018042184
lactate,0.01662791
sys_bp,0.01641601
emergency,0.014979819
wbc,0.013541769
temperature,0.013527636
dias_bp,0.012154042
resp_rate,0.011322214
has_urinary_catheter,0.011304499
age_group_66-80,0.009935226
age_group_nan,0.007846082
creatinine,0.0069077825
age_group_51-65,0.0067483317
age_group_31-50,0.004191055
Cefoxitin,0.0030537532
bun,0.00276333
Cefepime,0.0015505345
age_group_80+,0.0013933739
Daptomycin,0.0013021134
procalcitonin,0.0011576435
neutrophils,0.00082202285
Aztreonam,0.0004523683
lymphocytes,0.00038579342
Levofloxacin,0.00019311858
nursing_home_visit,0.00016561672
Doxycycline,0.00016391916
gender_male,0.0
has_any_procedure,0.0
Ceftazidime,0.0
Ceftaroline,0.0
Erythromycin,0.0
Clarithromycin,0.0
Ceftriaxone,0.0
Clindamycin,0.0
Cefuroxime,0.0
Gentamicin,0.0
