feature,importance
Ampicillin,0.7568426955099413
n_prior_meds,0.018375281216333497
adi_score,0.018015241452651227
days_since_last_prior_organism,0.015113832423425521
emergency,0.012735614213810833
n_abx_classes_exposed,0.012551154767709715
n_prior_classes,0.012066885760510078
heartrate,0.01164022506399532
log_days_since_abx,0.011406912273259172
days_since_last_antibiotic,0.010783443781916443
age,0.010466797352280377
adi_state_rank,0.010146436400535605
wbc,0.009702937710311912
temperature,0.009163278435423984
sys_bp,0.008942707638839928
dias_bp,0.008766136888468664
n_prior_organisms,0.008508342003293697
has_cvc,0.0055752475112003
resp_rate,0.005484795610929299
bun,0.005231508108074075
lactate,0.004499237705554073
creatinine,0.004248767705725121
inpatient,0.004209994739073943
outpatient,0.003924718043581295
icu,0.002805579260332428
age_group_31-50,0.0024444629437191355
age_group_19-30,0.0022206700832906254
has_urinary_catheter,0.0020630880504481346
age_group_66-80,0.0019836711199104915
age_group_51-65,0.0019085337565915047
Amikacin,0.0018169717949613614
age_group_80+,0.0016458194863800024
age_group_nan,0.0014884725022218492
neutrophils,0.0008164879302497873
lymphocytes,0.0008063630472594027
Aztreonam,0.0006995806594123797
nursing_home_visit,0.0005950669765481556
Clindamycin,0.0001478140997738769
Cefazolin,0.0001169894974310103
procalcitonin,2.7258673704140515e-05
Amoxicillin/Clavulanic Acid,8.771945844153245e-06
Cefepime,2.2058550762479905e-06
gender_male,0.0
has_any_procedure,0.0
Ceftazidime,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Ceftriaxone,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clarithromycin,0.0
Cefuroxime,0.0
Ciprofloxacin,0.0
Gentamicin,0.0
Levofloxacin,0.0
