feature,mean_abs_shap
Ampicillin,0.3616810858253656
emergency,0.023266226681747524
adi_score,0.015543963293203006
has_cvc,0.010470571427655612
n_abx_classes_exposed,0.009824414378996319
n_prior_meds,0.00871208228353088
log_days_since_abx,0.007643205719904217
adi_state_rank,0.00669953245364536
days_since_last_antibiotic,0.006192253109997433
n_prior_classes,0.0050421920268720385
age,0.004912586117668817
wbc,0.004486916780159239
heartrate,0.004410760050557768
days_since_last_prior_organism,0.00421875445882816
outpatient,0.004047362083547315
inpatient,0.0038863709475841636
n_prior_organisms,0.003559527169005045
sys_bp,0.003113696449659098
temperature,0.0030623849642384703
age_group_31-50,0.002671011786158855
dias_bp,0.002611794713537012
bun,0.0024581093569382355
resp_rate,0.00204964965575882
creatinine,0.0018483284464254773
lactate,0.0017155490459355247
age_group_19-30,0.001661214206337
age_group_66-80,0.0015158412020184597
icu,0.0010587880105203443
Amikacin,0.0010444962222111137
has_urinary_catheter,0.001018131749096648
age_group_51-65,0.0008514484963283556
age_group_80+,0.0005787730918602662
Aztreonam,0.0004590317404391994
age_group_nan,0.0004434229354918966
nursing_home_visit,0.0002561904635390668
lymphocytes,0.00019944320220455694
neutrophils,0.00015448889147908013
Clindamycin,4.430802300149183e-05
Cefazolin,3.4400682362243894e-05
procalcitonin,5.131658738769215e-06
Amoxicillin/Clavulanic Acid,2.243081369150824e-06
Cefepime,1.6360363871790419e-06
gender_male,0.0
has_any_procedure,0.0
Ceftazidime,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Ceftriaxone,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clarithromycin,0.0
Cefuroxime,0.0
Ciprofloxacin,0.0
Gentamicin,0.0
Levofloxacin,0.0
