feature,importance
Amikacin,0.25756273
Cefepime,0.16154133
age_group_19-30,0.05516653
Ceftazidime,0.037093002
emergency,0.03361108
Ampicillin,0.032255363
n_prior_organisms,0.031338662
outpatient,0.024217
inpatient,0.022161102
age,0.018808778
Ampicillin/Sulbactam,0.016796434
lactate,0.015669521
Cefazolin,0.015297231
wbc,0.014623589
n_prior_classes,0.014549023
age_group_nan,0.014372437
n_abx_classes_exposed,0.014101163
n_prior_meds,0.014021739
temperature,0.013759587
has_cvc,0.013757827
icu,0.0132016875
sys_bp,0.012764042
has_urinary_catheter,0.012305233
creatinine,0.011993215
adi_score,0.011642499
days_since_last_prior_organism,0.010990538
neutrophils,0.010778303
days_since_last_antibiotic,0.0106981825
dias_bp,0.010502179
adi_state_rank,0.0104141645
log_days_since_abx,0.010324934
resp_rate,0.010020758
heartrate,0.009712172
bun,0.009676881
age_group_31-50,0.009128813
age_group_51-65,0.00887518
age_group_66-80,0.0062671355
gender_male,0.0
nursing_home_visit,0.0
has_any_procedure,0.0
procalcitonin,0.0
lymphocytes,0.0
Amoxicillin/Clavulanic Acid,0.0
Cefoxitin,0.0
Ceftaroline,0.0
Ceftriaxone,0.0
Ciprofloxacin,0.0
Cefuroxime,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
Clarithromycin,0.0
Levofloxacin,0.0
Gentamicin,0.0
age_group_80+,0.0
