feature,mean_abs_shap
Amikacin,1.7349999
Cefepime,0.8149495
n_prior_organisms,0.35650167
n_abx_classes_exposed,0.18360195
age,0.1686017
n_prior_meds,0.15255034
days_since_last_prior_organism,0.1307803
emergency,0.118063346
n_prior_classes,0.11724791
adi_score,0.10561728
has_cvc,0.10137954
days_since_last_antibiotic,0.07041923
Ceftazidime,0.0636067
outpatient,0.062380746
sys_bp,0.054671213
Ampicillin,0.05109709
lactate,0.03509631
age_group_19-30,0.030659972
temperature,0.027914695
icu,0.026999304
heartrate,0.025558684
dias_bp,0.019073462
creatinine,0.018518569
adi_state_rank,0.01813294
wbc,0.017155608
Ampicillin/Sulbactam,0.016253754
log_days_since_abx,0.016009055
inpatient,0.014971767
age_group_66-80,0.011131606
age_group_31-50,0.009537088
resp_rate,0.008142916
Cefazolin,0.0075622923
bun,0.00719975
neutrophils,0.004885054
age_group_51-65,0.00436262
has_urinary_catheter,0.0027368057
age_group_nan,0.0022437144
gender_male,0.0
nursing_home_visit,0.0
has_any_procedure,0.0
procalcitonin,0.0
lymphocytes,0.0
Amoxicillin/Clavulanic Acid,0.0
Cefoxitin,0.0
Ceftaroline,0.0
Ceftriaxone,0.0
Ciprofloxacin,0.0
Cefuroxime,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
Clarithromycin,0.0
Levofloxacin,0.0
Gentamicin,0.0
age_group_80+,0.0
