feature,mean_abs_shap
Ampicillin,0.6579633551407577
Amoxicillin/Clavulanic Acid,0.31741240213327415
emergency,0.2829150297878808
age,0.10306061051282567
log_days_since_abx,0.0644215086336533
n_prior_meds,0.061035987724848834
days_since_last_antibiotic,0.058176997333917076
age_group_31-50,0.05485813829630045
icu,0.05453617357447726
Cefepime,0.05155817735832171
age_group_66-80,0.04893928980182247
age_group_19-30,0.04629028641289325
n_prior_organisms,0.04143991461182886
heartrate,0.0387091761132872
has_cvc,0.034146915053309114
age_group_80+,0.03169173383235742
adi_score,0.025633174116499707
Ciprofloxacin,0.025226058646257793
inpatient,0.023765813136562248
age_group_nan,0.021844042011928223
resp_rate,0.021669499021496678
adi_state_rank,0.020089881581608914
temperature,0.014325118149698198
outpatient,0.014058270041302254
days_since_last_prior_organism,0.008533266683542358
n_abx_classes_exposed,0.008467106247108412
dias_bp,0.006932890588138475
lactate,0.006636460241602018
age_group_51-65,0.0052775701128167166
lymphocytes,0.005132704524125842
neutrophils,0.005132704524125842
bun,0.004818162612350799
wbc,0.0038847283086427763
n_prior_classes,0.0030935610577940546
has_urinary_catheter,0.0027240958116452173
sys_bp,0.002634463467173392
nursing_home_visit,0.0003281120002803751
creatinine,1.5221346358522418e-05
Clindamycin,1.318281248746907e-17
Aztreonam,9.451010393143266e-18
Ceftazidime,8.495185212707954e-18
Cefoxitin,6.6667326789749145e-18
Ampicillin/Sulbactam,4.842176791626764e-18
Amikacin,3.348350911455817e-18
Cefuroxime,1.8647780311977145e-18
procalcitonin,1.8332616752302306e-18
Ceftriaxone,3.3303867070480853e-19
has_any_procedure,0.0
gender_male,0.0
Ceftaroline,0.0
Daptomycin,0.0
Clarithromycin,0.0
Erythromycin,0.0
Doxycycline,0.0
Gentamicin,0.0
Levofloxacin,0.0
