feature,importance
Aztreonam,0.49846375908060364
Cefazolin,0.056090445006100415
n_prior_organisms,0.03585179115836371
n_prior_meds,0.035262064850634114
days_since_last_prior_organism,0.029966450249159803
age,0.029310243624804885
adi_score,0.026638722874450606
log_days_since_abx,0.025819980481987838
days_since_last_antibiotic,0.023958976265276825
n_prior_classes,0.023870019165006612
n_abx_classes_exposed,0.02010222039213724
Ampicillin,0.018858609106449355
heartrate,0.014800571512602364
sys_bp,0.01462299720112011
adi_state_rank,0.013925371286847977
dias_bp,0.013333971985278527
Amikacin,0.010778005526862668
wbc,0.00955209221592355
temperature,0.00928086677829918
resp_rate,0.008881449447395216
Ciprofloxacin,0.007289451252862365
has_cvc,0.006921211795978479
age_group_19-30,0.006750088522554763
outpatient,0.006745339899402012
age_group_66-80,0.006343107312941852
age_group_31-50,0.005982608235148468
inpatient,0.005922531854554082
creatinine,0.005458117859483088
emergency,0.005394485765572915
has_urinary_catheter,0.004588336679219355
age_group_51-65,0.0034325682973584955
bun,0.002907639495091162
lymphocytes,0.0020037231923152416
age_group_nan,0.0019284218312712517
icu,0.001869979011640157
age_group_80+,0.001846970015387484
lactate,0.0015306427830866268
neutrophils,0.0015283896276588325
Ampicillin/Sulbactam,0.0007207562629258601
nursing_home_visit,0.0006754098183421518
Cefoxitin,0.00037474696128057464
Ceftazidime,0.0002792487943484044
Amoxicillin/Clavulanic Acid,7.195812286062393e-05
procalcitonin,4.245822685777809e-05
Ceftriaxone,2.320017255327078e-05
has_any_procedure,0.0
gender_male,0.0
Ceftaroline,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
Clarithromycin,0.0
Cefuroxime,0.0
Gentamicin,0.0
Levofloxacin,0.0
