feature,mean_abs_shap
Aztreonam,0.15232709619387053
Cefazolin,0.018500815832755823
Ampicillin,0.012898654429719894
age,0.010201947027395733
n_prior_organisms,0.009201850719531817
Amikacin,0.008269651261456883
adi_score,0.007918011066620618
days_since_last_prior_organism,0.007758811313982959
days_since_last_antibiotic,0.006897442654686261
n_prior_meds,0.006813660555796618
log_days_since_abx,0.006810708860927353
n_prior_classes,0.005462758381075234
has_cvc,0.005173249283723713
n_abx_classes_exposed,0.004895603962559295
outpatient,0.004575561506238968
adi_state_rank,0.0043658304172681526
age_group_31-50,0.004364982411340096
age_group_19-30,0.00428660094187672
inpatient,0.004021741329735699
age_group_66-80,0.0038446551764176645
Ciprofloxacin,0.0037006674805263946
heartrate,0.0024965582525305406
sys_bp,0.0024280164834567484
wbc,0.0020896728730552573
dias_bp,0.0020705511529612182
has_urinary_catheter,0.001618845216169572
emergency,0.0015738049311426455
temperature,0.0012811687183434703
resp_rate,0.0012344577342092
creatinine,0.0008911648224246879
age_group_51-65,0.0008656386792592764
bun,0.0007712659782506236
age_group_nan,0.0007000035642167979
age_group_80+,0.0005558965249730764
icu,0.0004458891095316402
lymphocytes,0.0004001494531286523
neutrophils,0.00023428758954794103
nursing_home_visit,0.0002206568092836057
lactate,0.00019754434335635365
Ampicillin/Sulbactam,0.0001609906329414274
Cefoxitin,0.00015551382385575757
Ceftazidime,9.83780983224006e-05
Amoxicillin/Clavulanic Acid,3.9880377028992775e-05
Ceftriaxone,1.4178139191697685e-05
procalcitonin,6.9445770541708215e-06
has_any_procedure,0.0
gender_male,0.0
Ceftaroline,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
Clarithromycin,0.0
Cefuroxime,0.0
Gentamicin,0.0
Levofloxacin,0.0
