feature,importance
Ciprofloxacin,0.28430676
Cefepime,0.08214767
Cefazolin,0.0365404
Amikacin,0.03335026
Amoxicillin/Clavulanic Acid,0.03314334
age_group_66-80,0.02685268
n_prior_organisms,0.022610279
age_group_nan,0.022189789
dias_bp,0.021998642
n_prior_meds,0.021835014
days_since_last_prior_organism,0.021142842
has_cvc,0.020878768
sys_bp,0.020066619
bun,0.020040875
wbc,0.018527461
n_prior_classes,0.01776045
heartrate,0.017691381
days_since_last_antibiotic,0.017560191
temperature,0.016754488
age_group_80+,0.016465899
resp_rate,0.01627111
has_urinary_catheter,0.015980203
emergency,0.015726594
creatinine,0.015534106
age,0.015297485
log_days_since_abx,0.015258588
adi_state_rank,0.015226769
Ampicillin,0.014966975
n_abx_classes_exposed,0.014765346
inpatient,0.014280646
age_group_51-65,0.014169501
icu,0.014037842
adi_score,0.013951352
outpatient,0.011056401
age_group_19-30,0.010814638
age_group_31-50,0.010798619
nursing_home_visit,0.0
has_any_procedure,0.0
gender_male,0.0
lactate,0.0
procalcitonin,0.0
neutrophils,0.0
lymphocytes,0.0
Aztreonam,0.0
Ceftazidime,0.0
Ceftaroline,0.0
Ampicillin/Sulbactam,0.0
Ceftriaxone,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
Clarithromycin,0.0
Cefuroxime,0.0
Gentamicin,0.0
Levofloxacin,0.0
