feature,mean_abs_shap
Ciprofloxacin,0.3457782
Cefepime,0.11730179
n_prior_meds,0.0882927
Cefazolin,0.0713982
days_since_last_prior_organism,0.06785293
n_prior_classes,0.06210547
days_since_last_antibiotic,0.060358435
n_prior_organisms,0.054078005
age,0.05184236
Amikacin,0.039778754
adi_score,0.0369048
heartrate,0.034583412
wbc,0.0326028
dias_bp,0.027215745
age_group_66-80,0.024453705
sys_bp,0.024285533
n_abx_classes_exposed,0.02351366
Amoxicillin/Clavulanic Acid,0.019282276
has_urinary_catheter,0.017439527
adi_state_rank,0.017075576
has_cvc,0.01376242
log_days_since_abx,0.013608801
bun,0.010331223
age_group_nan,0.009696191
temperature,0.009633197
inpatient,0.008310438
resp_rate,0.007564404
age_group_51-65,0.0061785406
emergency,0.005285734
age_group_19-30,0.004783289
age_group_31-50,0.004421765
outpatient,0.0036090792
creatinine,0.003346273
Ampicillin,0.0014355358
age_group_80+,0.0007212115
icu,0.00028623006
nursing_home_visit,0.0
has_any_procedure,0.0
gender_male,0.0
lactate,0.0
procalcitonin,0.0
neutrophils,0.0
lymphocytes,0.0
Aztreonam,0.0
Ceftazidime,0.0
Ceftaroline,0.0
Ampicillin/Sulbactam,0.0
Ceftriaxone,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
Clarithromycin,0.0
Cefuroxime,0.0
Gentamicin,0.0
Levofloxacin,0.0
