feature,importance
Clindamycin,0.1400948710034997
n_prior_meds,0.0643971198375573
n_prior_classes,0.06112800413409248
days_since_last_prior_organism,0.05429883720305088
adi_score,0.048390876425303625
sys_bp,0.04617242914147006
adi_state_rank,0.04389031331494084
wbc,0.042738267602063305
n_abx_classes_exposed,0.04211224438092768
dias_bp,0.040247230020084075
heartrate,0.03703381143888534
days_since_last_antibiotic,0.0360635875546493
n_prior_organisms,0.034906793456397196
age,0.034813892308618664
log_days_since_abx,0.032784355602316226
temperature,0.02819859702120912
resp_rate,0.027566559310459978
bun,0.024644941766383197
neutrophils,0.023572053756487504
creatinine,0.022119713278138078
lymphocytes,0.01783496055125247
lactate,0.013227205756229807
has_cvc,0.010864608123615107
age_group_66-80,0.0092451636354981
icu,0.009212255822331409
age_group_19-30,0.008234579400738335
age_group_51-65,0.007890141727243767
age_group_80+,0.00747803178016544
emergency,0.006539504178769617
age_group_31-50,0.0061063416003377755
has_urinary_catheter,0.005041869781481317
age_group_nan,0.003791804989457386
nursing_home_visit,0.003036261288269927
outpatient,0.0028759243057813566
procalcitonin,0.002443873059014907
inpatient,0.0010029754432788751
gender_male,0.0
has_any_procedure,0.0
Amoxicillin/Clavulanic Acid,0.0
Amikacin,0.0
Ceftazidime,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Aztreonam,0.0
Ampicillin/Sulbactam,0.0
Ampicillin,0.0
Ceftriaxone,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clarithromycin,0.0
Cefuroxime,0.0
Ciprofloxacin,0.0
Gentamicin,0.0
Levofloxacin,0.0
