feature,mean_abs_shap
Clindamycin,0.048549141643282966
n_prior_meds,0.02622483142717496
n_prior_classes,0.023693105363105635
days_since_last_prior_organism,0.01713893054352091
adi_state_rank,0.016235188128974624
adi_score,0.015489430768620891
days_since_last_antibiotic,0.011531891616325814
n_prior_organisms,0.010930149657485509
n_abx_classes_exposed,0.010745917198111743
sys_bp,0.008616572259005743
dias_bp,0.007968551478930061
log_days_since_abx,0.007343656841894051
bun,0.007305825665227134
age,0.006999934807395073
wbc,0.006852677849981689
heartrate,0.006093526417233719
icu,0.005330666056695414
resp_rate,0.005229949647560393
temperature,0.005090803921858258
age_group_66-80,0.00475199270571073
neutrophils,0.00429852866609092
emergency,0.004197167844570872
has_cvc,0.0040107140467686795
lymphocytes,0.003554311932794669
creatinine,0.003175033570687889
age_group_31-50,0.001941275037635848
lactate,0.001880944346934293
age_group_80+,0.0016802217737721349
age_group_51-65,0.0016580151664628694
has_urinary_catheter,0.0013125207576124662
age_group_19-30,0.001308030541605538
nursing_home_visit,0.0010705184924765174
age_group_nan,0.0005479866776724955
procalcitonin,0.00045810149744294126
outpatient,0.0002859952712604055
inpatient,0.00011188231277685187
gender_male,0.0
has_any_procedure,0.0
Amoxicillin/Clavulanic Acid,0.0
Amikacin,0.0
Ceftazidime,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Aztreonam,0.0
Ampicillin/Sulbactam,0.0
Ampicillin,0.0
Ceftriaxone,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clarithromycin,0.0
Cefuroxime,0.0
Ciprofloxacin,0.0
Gentamicin,0.0
Levofloxacin,0.0
