feature,mean_abs_shap
Aztreonam,1.8304035205702474
n_prior_organisms,0.7162470510299311
inpatient,0.6201460095318985
n_prior_classes,0.4592337420898427
outpatient,0.386909506804337
emergency,0.383181888553956
adi_state_rank,0.3076805534551918
adi_score,0.253588530053254
n_prior_meds,0.23309483567660322
Cefazolin,0.18365852873008331
age_group_19-30,0.1821187126472848
Cefepime,0.14208860733656062
Ciprofloxacin,0.11488010699245692
age_group_66-80,0.11437212801748534
log_days_since_abx,0.11286187678835478
Clindamycin,0.10332256846136724
has_cvc,0.0766069645858122
age_group_nan,0.07196578401059359
age_group_31-50,0.06289888417300547
age,0.05704795561521782
nursing_home_visit,0.05659667372521923
has_urinary_catheter,0.05528466794424894
dias_bp,0.051696998614645384
age_group_80+,0.04857838794512314
days_since_last_prior_organism,0.04001389354104257
wbc,0.031283409266843074
icu,0.014530534073863793
temperature,0.012791122790030997
heartrate,0.012633847556754185
lactate,0.011115488475904756
age_group_51-65,0.009320734079722082
bun,0.009111561016087219
n_abx_classes_exposed,0.007121690845460084
days_since_last_antibiotic,0.006494774025465514
resp_rate,0.005739514484177453
sys_bp,0.0026697660030508964
creatinine,0.0015577699567073974
neutrophils,6.67818425415878e-05
lymphocytes,6.67818425415878e-05
Cefoxitin,2.0453654121077295e-17
Levofloxacin,1.6156453145903943e-17
Ampicillin,8.093130582100642e-18
gender_male,0.0
has_any_procedure,0.0
procalcitonin,0.0
Ampicillin/Sulbactam,0.0
Amoxicillin/Clavulanic Acid,0.0
Amikacin,0.0
Ceftaroline,0.0
Doxycycline,0.0
Erythromycin,0.0
Clarithromycin,0.0
Ceftriaxone,0.0
Cefuroxime,0.0
Daptomycin,0.0
Gentamicin,0.0
