feature,mean_abs_shap
Clindamycin,0.8450451335782525
adi_state_rank,0.2924227321458911
adi_score,0.25504620227260105
n_abx_classes_exposed,0.20695487388506575
Ampicillin,0.14254138953385165
Amoxicillin/Clavulanic Acid,0.11031983129938135
Cefazolin,0.10642822962303114
n_prior_classes,0.10559470442485454
Cefepime,0.10510965704332156
age_group_66-80,0.07408898313484785
icu,0.06690470181546916
age_group_nan,0.05508410169293553
emergency,0.048279285026254
inpatient,0.04711299986029063
wbc,0.04125373841409402
temperature,0.03894135866879405
has_cvc,0.035142410966490366
age_group_19-30,0.031485828685313286
age_group_80+,0.03031595204906771
age,0.028465019903196005
n_prior_organisms,0.023782136069194545
days_since_last_antibiotic,0.022302548883377286
procalcitonin,0.021066487270545654
sys_bp,0.019922453198003533
days_since_last_prior_organism,0.01976006670258319
has_urinary_catheter,0.01851674027974042
log_days_since_abx,0.016001096717026972
dias_bp,0.010632581923793632
neutrophils,0.010008067050927914
lymphocytes,0.010008067050927914
age_group_51-65,0.009832474012814755
creatinine,0.007821564112176455
age_group_31-50,0.005658518084916856
n_prior_meds,0.004258410831638143
lactate,0.004060795808021238
outpatient,0.0015849292253371794
heartrate,0.0010930851150817145
bun,0.000954586397057351
resp_rate,6.221494967603945e-05
Cefuroxime,1.2024502318847978e-16
Erythromycin,5.606393954797908e-17
Cefoxitin,5.188006161363636e-18
Levofloxacin,3.7177828810791224e-18
nursing_home_visit,6.998535118610571e-19
gender_male,0.0
has_any_procedure,0.0
Ampicillin/Sulbactam,0.0
Amikacin,0.0
Ceftaroline,0.0
Aztreonam,0.0
Doxycycline,0.0
Clarithromycin,0.0
Ceftazidime,0.0
Daptomycin,0.0
Ciprofloxacin,0.0
Gentamicin,0.0
