feature,importance
Ceftriaxone,0.09084828
inpatient,0.080686875
outpatient,0.07185933
n_prior_classes,0.07019886
age,0.054328497
adi_state_rank,0.05416621
n_abx_classes_exposed,0.051894493
wbc,0.0509417
n_prior_meds,0.049531825
Cefazolin,0.04830393
days_since_last_antibiotic,0.046815015
age_group_nan,0.044052053
days_since_last_prior_organism,0.041180257
age_group_66-80,0.039611448
adi_score,0.03488671
age_group_51-65,0.034552433
dias_bp,0.034528267
heartrate,0.03365716
has_cvc,0.02672733
temperature,0.017049102
age_group_31-50,0.012770946
n_prior_organisms,0.011409313
has_urinary_catheter,0.0
emergency,0.0
sys_bp,0.0
resp_rate,0.0
procalcitonin,0.0
nursing_home_visit,0.0
bun,0.0
neutrophils,0.0
lymphocytes,0.0
lactate,0.0
creatinine,0.0
icu,0.0
has_any_procedure,0.0
gender_male,0.0
Amikacin,0.0
Amoxicillin/Clavulanic Acid,0.0
Ampicillin/Sulbactam,0.0
log_days_since_abx,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Aztreonam,0.0
Ampicillin,0.0
Ceftazidime,0.0
Ciprofloxacin,0.0
Clarithromycin,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
age_group_19-30,0.0
Levofloxacin,0.0
Gentamicin,0.0
age_group_80+,0.0
