feature,mean_abs_shap
outpatient,0.41451332
inpatient,0.34918973
Ceftriaxone,0.34433824
age,0.3182759
n_prior_classes,0.16584417
n_prior_meds,0.121712275
days_since_last_prior_organism,0.1090835
n_abx_classes_exposed,0.09611806
adi_state_rank,0.09543469
adi_score,0.09001297
days_since_last_antibiotic,0.07840688
Cefazolin,0.054418184
heartrate,0.027522247
age_group_66-80,0.019609433
dias_bp,0.014364384
age_group_31-50,0.013326709
n_prior_organisms,0.009155049
age_group_nan,0.0069564153
wbc,0.005259231
age_group_51-65,0.0050115515
has_cvc,0.002377245
temperature,0.0020698106
has_urinary_catheter,0.0
emergency,0.0
sys_bp,0.0
resp_rate,0.0
procalcitonin,0.0
nursing_home_visit,0.0
bun,0.0
neutrophils,0.0
lymphocytes,0.0
lactate,0.0
creatinine,0.0
icu,0.0
has_any_procedure,0.0
gender_male,0.0
Amikacin,0.0
Amoxicillin/Clavulanic Acid,0.0
Ampicillin/Sulbactam,0.0
log_days_since_abx,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Aztreonam,0.0
Ampicillin,0.0
Ceftazidime,0.0
Ciprofloxacin,0.0
Clarithromycin,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
age_group_19-30,0.0
Levofloxacin,0.0
Gentamicin,0.0
age_group_80+,0.0
