feature,importance
Ampicillin,0.18746139
age,0.08562203
Cefepime,0.07085171
n_prior_organisms,0.06224593
Cefazolin,0.053687487
has_cvc,0.040442947
n_abx_classes_exposed,0.035835765
emergency,0.035310183
Clindamycin,0.03120522
has_urinary_catheter,0.028874837
Cefoxitin,0.025859972
n_prior_meds,0.02352491
outpatient,0.022435477
Ceftazidime,0.021194082
bun,0.020641826
n_prior_classes,0.019997211
adi_state_rank,0.017832298
resp_rate,0.016634665
sys_bp,0.016343007
age_group_66-80,0.015987324
icu,0.015595253
days_since_last_prior_organism,0.015502348
wbc,0.0150828995
adi_score,0.015005086
days_since_last_antibiotic,0.013363301
dias_bp,0.012519958
temperature,0.012309936
inpatient,0.011248426
age_group_nan,0.011090723
heartrate,0.0103942985
lactate,0.010009828
age_group_31-50,0.0094507765
age_group_51-65,0.008689075
creatinine,0.007749819
procalcitonin,0.0
nursing_home_visit,0.0
gender_male,0.0
has_any_procedure,0.0
neutrophils,0.0
lymphocytes,0.0
Ceftaroline,0.0
Amoxicillin/Clavulanic Acid,0.0
Ampicillin/Sulbactam,0.0
Aztreonam,0.0
log_days_since_abx,0.0
Amikacin,0.0
Cefuroxime,0.0
Ceftriaxone,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clarithromycin,0.0
age_group_19-30,0.0
Levofloxacin,0.0
Gentamicin,0.0
age_group_80+,0.0
