feature,mean_abs_shap
Ampicillin,0.6163374
age,0.20462745
n_prior_organisms,0.14987716
emergency,0.13125972
n_prior_meds,0.10180343
has_cvc,0.09672492
n_abx_classes_exposed,0.08931834
Cefepime,0.059636537
Cefazolin,0.053524833
has_urinary_catheter,0.05097262
adi_score,0.029089542
n_prior_classes,0.023108179
sys_bp,0.022265105
days_since_last_prior_organism,0.016695905
age_group_66-80,0.016092855
outpatient,0.014149499
Clindamycin,0.011964454
wbc,0.010305039
days_since_last_antibiotic,0.010137297
resp_rate,0.009349128
dias_bp,0.009232989
temperature,0.0056741433
adi_state_rank,0.0047603403
bun,0.0045588897
heartrate,0.004255254
inpatient,0.0041155256
age_group_nan,0.0039778315
Cefoxitin,0.003922113
age_group_31-50,0.003109454
age_group_51-65,0.0030967488
icu,0.0026442977
creatinine,0.0010094035
lactate,0.00041047152
Ceftazidime,0.00031708644
procalcitonin,0.0
nursing_home_visit,0.0
gender_male,0.0
has_any_procedure,0.0
neutrophils,0.0
lymphocytes,0.0
Ceftaroline,0.0
Amoxicillin/Clavulanic Acid,0.0
Ampicillin/Sulbactam,0.0
Aztreonam,0.0
log_days_since_abx,0.0
Amikacin,0.0
Cefuroxime,0.0
Ceftriaxone,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clarithromycin,0.0
age_group_19-30,0.0
Levofloxacin,0.0
Gentamicin,0.0
age_group_80+,0.0
