feature,importance
Amikacin,0.10110327621464008
n_prior_meds,0.09018967350521136
adi_score,0.07201121197306427
n_prior_classes,0.07012570786680922
days_since_last_antibiotic,0.062760423620198
log_days_since_abx,0.06263283687889892
days_since_last_prior_organism,0.06228997956155711
age,0.05639409252423646
adi_state_rank,0.04259413016142635
n_prior_organisms,0.04176136741855533
heartrate,0.037732333000997105
n_abx_classes_exposed,0.037470520247253
sys_bp,0.03252230929459601
has_cvc,0.030576481465921023
age_group_19-30,0.0273086269565643
resp_rate,0.025345068992929633
dias_bp,0.02510246897476922
temperature,0.01877849590305556
age_group_66-80,0.018751649726799914
creatinine,0.012831236373724655
inpatient,0.011897517852784447
outpatient,0.011864237288840762
age_group_51-65,0.008514798525075896
wbc,0.007838405456520548
age_group_31-50,0.005642732613661086
icu,0.00430853713327354
age_group_80+,0.0041680422090769245
lymphocytes,0.003778414344282022
has_urinary_catheter,0.0037506831985844456
emergency,0.0030931790203062586
neutrophils,0.0021015186770241283
bun,0.0018292657330943288
age_group_nan,0.0015446402188572567
Ciprofloxacin,0.0008975035238633937
nursing_home_visit,0.0004886335435474897
has_any_procedure,0.0
procalcitonin,0.0
lactate,0.0
gender_male,0.0
Amoxicillin/Clavulanic Acid,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Aztreonam,0.0
Ampicillin/Sulbactam,0.0
Ampicillin,0.0
Ceftazidime,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
Cefuroxime,0.0
Ceftriaxone,0.0
Gentamicin,0.0
Levofloxacin,0.0
