feature,mean_abs_shap
Amikacin,0.05462198253385731
adi_score,0.030947326505493075
n_prior_meds,0.028976260219591352
has_cvc,0.027796372930873402
n_prior_classes,0.02724428809217255
age,0.024299421240811036
age_group_66-80,0.021424406910737836
adi_state_rank,0.020479218262942037
days_since_last_antibiotic,0.01933522128658184
log_days_since_abx,0.018468401846426473
days_since_last_prior_organism,0.018435685116969507
n_prior_organisms,0.017825355821941297
age_group_19-30,0.017753963724006724
n_abx_classes_exposed,0.011857390824962457
inpatient,0.008308162962517587
resp_rate,0.008260568018951999
heartrate,0.0072075320558245256
dias_bp,0.005516575227612719
age_group_51-65,0.005417513140001741
sys_bp,0.004686945566044968
outpatient,0.0045634191646984675
creatinine,0.003964982031415072
temperature,0.003685145113670421
wbc,0.002173256349271538
age_group_31-50,0.0016517556583989525
age_group_80+,0.0013252640391543747
icu,0.0012673731545713679
lymphocytes,0.0009840069426088939
neutrophils,0.0006712288752211701
bun,0.0006676356237413866
has_urinary_catheter,0.0006606726283614315
emergency,0.0005941558410652667
Ciprofloxacin,0.0003134869916515624
age_group_nan,0.0002912546213420992
nursing_home_visit,0.00019625427067706123
has_any_procedure,0.0
procalcitonin,0.0
lactate,0.0
gender_male,0.0
Amoxicillin/Clavulanic Acid,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Aztreonam,0.0
Ampicillin/Sulbactam,0.0
Ampicillin,0.0
Ceftazidime,0.0
Erythromycin,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
Cefuroxime,0.0
Ceftriaxone,0.0
Gentamicin,0.0
Levofloxacin,0.0
