feature,importance
Erythromycin,0.09960928721848958
n_prior_meds,0.06371445721288171
days_since_last_prior_organism,0.06295142980551793
adi_score,0.0524701887898697
Ceftriaxone,0.05222932140178624
n_prior_organisms,0.04977227491779718
days_since_last_antibiotic,0.04728511728998527
log_days_since_abx,0.047039504089802744
n_prior_classes,0.04630891809618136
heartrate,0.03813029624367373
n_abx_classes_exposed,0.03800102697502897
age,0.037723776310216194
sys_bp,0.0347442186874832
dias_bp,0.033965262488875304
adi_state_rank,0.03309351186710094
wbc,0.02847973562683331
temperature,0.023339176659124775
emergency,0.022330370019997915
resp_rate,0.022213950904526644
inpatient,0.018127468867997373
creatinine,0.013505122771072025
icu,0.012829877867627348
outpatient,0.011313804606907452
has_cvc,0.0109580311960073
bun,0.010920257405660978
age_group_31-50,0.009454292465437978
Ciprofloxacin,0.008691780466497793
age_group_66-80,0.008104972461344047
age_group_51-65,0.008030182182745291
age_group_19-30,0.00797751547269371
lactate,0.007833974133225735
Cefazolin,0.006397603193474794
has_urinary_catheter,0.005263829677793451
age_group_80+,0.004603445286999213
age_group_nan,0.0038223352725404885
neutrophils,0.0033492454723509243
Ceftaroline,0.003290451261800248
lymphocytes,0.0031691913817894503
procalcitonin,0.0019456268913793531
Daptomycin,0.0014095756116639824
nursing_home_visit,0.0013253749954314647
Ampicillin/Sulbactam,0.0011778719504139312
Ceftazidime,0.0011034689445910172
Doxycycline,0.0009703016469447504
Ampicillin,0.0009345481613679478
Cefuroxime,7.648527610918244e-05
Gentamicin,1.1540472960040777e-05
has_any_procedure,0.0
gender_male,0.0
Cefoxitin,0.0
Amoxicillin/Clavulanic Acid,0.0
Aztreonam,0.0
Amikacin,0.0
Cefepime,0.0
Clarithromycin,0.0
Levofloxacin,0.0
