feature,mean_abs_shap
Erythromycin,0.043457601080020926
emergency,0.03172469782887652
inpatient,0.025501702657715408
Ceftriaxone,0.023337578673412435
outpatient,0.013671836326610273
n_prior_meds,0.012235893366290334
icu,0.011822515962132992
age,0.010465843515490958
n_prior_organisms,0.01021505388587725
days_since_last_antibiotic,0.00977640131407597
log_days_since_abx,0.009630709715961399
adi_score,0.007906314220280602
days_since_last_prior_organism,0.006651337742790185
n_prior_classes,0.006484917827011835
n_abx_classes_exposed,0.006307114514446158
wbc,0.005969264019923255
adi_state_rank,0.005187193475252169
Cefazolin,0.0048643752930280695
resp_rate,0.004601729130655815
heartrate,0.004539131643616853
sys_bp,0.004226117138472753
Ciprofloxacin,0.0034107719562547784
age_group_66-80,0.003386211252682601
dias_bp,0.0032815259097228587
age_group_19-30,0.003037077776610192
age_group_31-50,0.002891271486911805
Ceftaroline,0.002286291422160585
has_cvc,0.0022465450170304053
temperature,0.002216312600973865
age_group_51-65,0.0021909797655241575
age_group_80+,0.0019617819427952847
bun,0.0017160590252395785
creatinine,0.0016951566329356902
lactate,0.0008140331832443866
Daptomycin,0.0007543579616905319
age_group_nan,0.0006703173114194049
has_urinary_catheter,0.000516182842362581
neutrophils,0.0005050846030792934
lymphocytes,0.0004908695075076645
procalcitonin,0.00047728390534315846
Ceftazidime,0.00020526905230813214
Doxycycline,0.00018198336566411925
nursing_home_visit,0.00014115853780921291
Ampicillin/Sulbactam,0.00013415653667205353
Ampicillin,0.00012890435275079786
Cefuroxime,1.8545243782912547e-05
Gentamicin,2.707263447255384e-06
has_any_procedure,0.0
gender_male,0.0
Cefoxitin,0.0
Amoxicillin/Clavulanic Acid,0.0
Aztreonam,0.0
Amikacin,0.0
Cefepime,0.0
Clarithromycin,0.0
Levofloxacin,0.0
