feature,importance
Clindamycin,0.07911045
age_group_31-50,0.058264844
creatinine,0.058100667
inpatient,0.054842513
n_prior_classes,0.049761184
sys_bp,0.048282046
days_since_last_prior_organism,0.04427382
wbc,0.04138323
n_abx_classes_exposed,0.04137085
Ampicillin,0.040973864
heartrate,0.03869408
icu,0.038052164
age_group_nan,0.03267674
nursing_home_visit,0.03236993
n_prior_meds,0.030889668
n_prior_organisms,0.02930188
outpatient,0.027535502
dias_bp,0.027050585
days_since_last_antibiotic,0.026625166
age,0.025022432
lymphocytes,0.024762413
adi_score,0.024507593
temperature,0.022757312
adi_state_rank,0.022735344
bun,0.022667285
has_cvc,0.020007003
age_group_19-30,0.018022817
log_days_since_abx,0.015422789
resp_rate,0.0045357975
gender_male,0.0
has_any_procedure,0.0
emergency,0.0
procalcitonin,0.0
lactate,0.0
neutrophils,0.0
has_urinary_catheter,0.0
Amikacin,0.0
Amoxicillin/Clavulanic Acid,0.0
Ampicillin/Sulbactam,0.0
Aztreonam,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Ciprofloxacin,0.0
Ceftazidime,0.0
Cefuroxime,0.0
Ceftriaxone,0.0
Erythromycin,0.0
Doxycycline,0.0
Clarithromycin,0.0
Levofloxacin,0.0
Gentamicin,0.0
age_group_51-65,0.0
age_group_66-80,0.0
age_group_80+,0.0
