feature,mean_abs_shap
Clindamycin,0.44001493
wbc,0.26713344
Ampicillin,0.22196198
days_since_last_prior_organism,0.14484729
creatinine,0.076019175
heartrate,0.06981258
n_abx_classes_exposed,0.0694866
age,0.06241212
age_group_31-50,0.055897646
n_prior_meds,0.046098307
n_prior_classes,0.040469036
inpatient,0.03487166
days_since_last_antibiotic,0.03262174
n_prior_organisms,0.029553948
adi_score,0.027818127
outpatient,0.01602582
icu,0.014650132
has_cvc,0.014574603
nursing_home_visit,0.009830491
sys_bp,0.008456042
temperature,0.0068204273
adi_state_rank,0.006326525
age_group_nan,0.006134578
dias_bp,0.0042168004
log_days_since_abx,0.0033451149
bun,0.0029600668
age_group_19-30,0.0026177817
lymphocytes,0.002270496
resp_rate,0.0013050227
gender_male,0.0
has_any_procedure,0.0
emergency,0.0
procalcitonin,0.0
lactate,0.0
neutrophils,0.0
has_urinary_catheter,0.0
Amikacin,0.0
Amoxicillin/Clavulanic Acid,0.0
Ampicillin/Sulbactam,0.0
Aztreonam,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Ciprofloxacin,0.0
Ceftazidime,0.0
Cefuroxime,0.0
Ceftriaxone,0.0
Erythromycin,0.0
Doxycycline,0.0
Clarithromycin,0.0
Levofloxacin,0.0
Gentamicin,0.0
age_group_51-65,0.0
age_group_66-80,0.0
age_group_80+,0.0
