feature,importance
Ciprofloxacin,0.23482307426431973
age,0.08091518201021371
days_since_last_prior_organism,0.07675033006043831
Clindamycin,0.07279187543514307
n_prior_meds,0.05873331525530123
n_prior_classes,0.05075823792103792
n_abx_classes_exposed,0.043822100514168204
log_days_since_abx,0.04371430274049972
heartrate,0.03744915705144607
n_prior_organisms,0.02808243034987213
days_since_last_antibiotic,0.02654700748540681
adi_score,0.026454946214812456
age_group_66-80,0.022371016806330753
sys_bp,0.019262787773673698
resp_rate,0.018806626218609266
adi_state_rank,0.0175415560471183
emergency,0.015291689016028908
wbc,0.014635041781577688
dias_bp,0.014158373616832821
bun,0.010399023016723874
age_group_31-50,0.009937213982982123
age_group_51-65,0.009159344958509147
inpatient,0.008772699581389685
lactate,0.008229861526797708
Ampicillin,0.0076325314273792315
outpatient,0.006764559471984221
has_cvc,0.006296994084326953
has_urinary_catheter,0.005779679171607294
creatinine,0.005768222793891419
age_group_nan,0.00523152904917522
temperature,0.004504859010793738
icu,0.003009619285238998
age_group_19-30,0.002758510375814864
age_group_80+,0.002120387193634429
neutrophils,0.0007259145069204056
procalcitonin,0.0
gender_male,0.0
lymphocytes,0.0
nursing_home_visit,0.0
has_any_procedure,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Aztreonam,0.0
Ampicillin/Sulbactam,0.0
Amoxicillin/Clavulanic Acid,0.0
Amikacin,0.0
Erythromycin,0.0
Daptomycin,0.0
Clarithromycin,0.0
Cefuroxime,0.0
Ceftazidime,0.0
Ceftriaxone,0.0
Gentamicin,0.0
Levofloxacin,0.0
