feature,mean_abs_shap
Ciprofloxacin,0.12632341091968025
Clindamycin,0.047126975451591016
age,0.03463853426672876
days_since_last_prior_organism,0.03348500566763515
n_abx_classes_exposed,0.019699267985028045
age_group_66-80,0.019522573339869845
n_prior_meds,0.016769416966722964
n_prior_organisms,0.014373984261430228
emergency,0.014357680739697367
n_prior_classes,0.014285679297469035
log_days_since_abx,0.013673839762123757
heartrate,0.013600196851488843
days_since_last_antibiotic,0.011050765236126584
adi_state_rank,0.010685568708715634
inpatient,0.01001422644482419
adi_score,0.009043029382107283
sys_bp,0.007757075656312547
age_group_31-50,0.006367331192576087
resp_rate,0.006355358001410837
has_cvc,0.00579897799808958
bun,0.004978802708913393
outpatient,0.004754627220221565
Ampicillin,0.003696112622316479
wbc,0.0035012170826740968
has_urinary_catheter,0.003328150526295282
lactate,0.0033033434560338134
dias_bp,0.0029353311475827397
age_group_51-65,0.002461104183799984
age_group_nan,0.0023741782102276988
creatinine,0.0022656421886672624
icu,0.0016395604003244804
temperature,0.001545832805284008
age_group_80+,0.0011034071841778993
age_group_19-30,0.0007223622310677033
neutrophils,0.00018461401782284063
procalcitonin,0.0
gender_male,0.0
lymphocytes,0.0
nursing_home_visit,0.0
has_any_procedure,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Aztreonam,0.0
Ampicillin/Sulbactam,0.0
Amoxicillin/Clavulanic Acid,0.0
Amikacin,0.0
Erythromycin,0.0
Daptomycin,0.0
Clarithromycin,0.0
Cefuroxime,0.0
Ceftazidime,0.0
Ceftriaxone,0.0
Gentamicin,0.0
Levofloxacin,0.0
