feature,importance
Clindamycin,0.7695602911269596
days_since_last_prior_organism,0.019842249770056383
n_prior_meds,0.01823972388230474
n_prior_classes,0.01294071655815861
adi_score,0.012703133863569718
sys_bp,0.012126249102924274
n_prior_organisms,0.011565307303898473
days_since_last_antibiotic,0.01120752478564212
log_days_since_abx,0.010518999737056577
age,0.009840913454263358
dias_bp,0.009756594291441358
creatinine,0.009102108985987293
heartrate,0.00898390769782185
wbc,0.008128818002184249
temperature,0.007975209102556467
n_abx_classes_exposed,0.007674322346044006
adi_state_rank,0.006907202239362012
resp_rate,0.0052260724990665745
inpatient,0.004568954684898286
lactate,0.004494352877651525
has_cvc,0.004350406096405055
outpatient,0.004176784004325726
age_group_19-30,0.0035640326766087737
bun,0.003563156156291728
age_group_31-50,0.003069369046580702
emergency,0.0028488311502427614
age_group_66-80,0.0023718681190141645
lymphocytes,0.002329410570158528
Cefuroxime,0.0020194846494030424
age_group_nan,0.0019864722758655886
neutrophils,0.0016066207347989112
icu,0.0015354741051222273
Daptomycin,0.0014969475298321707
age_group_51-65,0.0014004159621777462
has_urinary_catheter,0.0010005919568085138
age_group_80+,0.0005794148154998638
nursing_home_visit,0.00033714005326722097
Ceftriaxone,0.0002854517622947246
procalcitonin,7.897944113972964e-05
Ciprofloxacin,2.1501956496469193e-05
Gentamicin,1.4994625819027358e-05
has_any_procedure,0.0
gender_male,0.0
Ceftaroline,0.0
Aztreonam,0.0
Ampicillin/Sulbactam,0.0
Ampicillin,0.0
Amoxicillin/Clavulanic Acid,0.0
Amikacin,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Doxycycline,0.0
Clarithromycin,0.0
Ceftazidime,0.0
Levofloxacin,0.0
