feature,mean_abs_shap
Clindamycin,0.3011823055517286
inpatient,0.0075471415277435635
age,0.006904199171617256
n_prior_classes,0.006816847391230673
days_since_last_antibiotic,0.005202870116736021
n_prior_meds,0.00518298442949787
age_group_19-30,0.004919856718312242
days_since_last_prior_organism,0.004910438603124168
outpatient,0.004782180963381379
sys_bp,0.0037092051623043424
wbc,0.0037046318079699348
n_abx_classes_exposed,0.003506930312664327
creatinine,0.003413056618684146
n_prior_organisms,0.0033470294634061802
log_days_since_abx,0.003299219954384482
adi_score,0.003197022543644667
has_cvc,0.0030878187161565494
dias_bp,0.0028682921355790035
temperature,0.0028136865577896362
heartrate,0.0027268626961413837
adi_state_rank,0.0027051528238862367
emergency,0.0023033773465277693
lactate,0.0022197552345530084
age_group_31-50,0.002040992110472829
resp_rate,0.001532994348771418
age_group_66-80,0.00153115672453341
age_group_nan,0.0014968802635245923
bun,0.001398199891120413
age_group_51-65,0.0006797433560447426
lymphocytes,0.0006778846082382311
Cefuroxime,0.000602978839066307
icu,0.00046559393775214274
Daptomycin,0.0004346768405909854
neutrophils,0.000430306548176272
age_group_80+,0.0003024030449082215
has_urinary_catheter,0.0002961275656039894
nursing_home_visit,7.726820055117775e-05
Ceftriaxone,3.986950730811276e-05
procalcitonin,2.0907906536300025e-05
Gentamicin,2.072891386674278e-05
Ciprofloxacin,3.940652390960961e-06
has_any_procedure,0.0
gender_male,0.0
Ceftaroline,0.0
Aztreonam,0.0
Ampicillin/Sulbactam,0.0
Ampicillin,0.0
Amoxicillin/Clavulanic Acid,0.0
Amikacin,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Doxycycline,0.0
Clarithromycin,0.0
Ceftazidime,0.0
Levofloxacin,0.0
