feature,importance
Ampicillin,0.069559984
outpatient,0.0676509
inpatient,0.050999794
icu,0.04917919
has_cvc,0.04811061
age,0.044305865
has_urinary_catheter,0.04366508
Levofloxacin,0.041415047
adi_state_rank,0.039115407
creatinine,0.03662146
heartrate,0.03558101
n_prior_organisms,0.035175554
temperature,0.035119805
resp_rate,0.03312879
dias_bp,0.030301524
adi_score,0.029155385
wbc,0.028414877
n_abx_classes_exposed,0.027865741
Erythromycin,0.027723776
lactate,0.02743198
days_since_last_prior_organism,0.026385177
sys_bp,0.024259778
n_prior_meds,0.023773003
n_prior_classes,0.022083748
days_since_last_antibiotic,0.021694455
emergency,0.02026059
age_group_51-65,0.01916884
age_group_31-50,0.015036459
age_group_66-80,0.014186675
nursing_home_visit,0.012629502
gender_male,0.0
has_any_procedure,0.0
procalcitonin,0.0
bun,0.0
neutrophils,0.0
lymphocytes,0.0
Amikacin,0.0
Amoxicillin/Clavulanic Acid,0.0
Ampicillin/Sulbactam,0.0
log_days_since_abx,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Aztreonam,0.0
Ceftazidime,0.0
Cefuroxime,0.0
Ceftriaxone,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
Clarithromycin,0.0
Ciprofloxacin,0.0
age_group_19-30,0.0
age_group_80+,0.0
age_group_nan,0.0
