feature,mean_abs_shap
age,0.2138636
outpatient,0.18881497
Ampicillin,0.15811217
has_cvc,0.11859314
adi_score,0.091592506
n_prior_organisms,0.064164646
heartrate,0.06335245
has_urinary_catheter,0.05971616
icu,0.056436025
n_prior_meds,0.054653633
inpatient,0.053135835
days_since_last_prior_organism,0.047061097
dias_bp,0.043238983
Levofloxacin,0.04304881
temperature,0.038608693
adi_state_rank,0.037687123
n_abx_classes_exposed,0.036383547
n_prior_classes,0.024522236
days_since_last_antibiotic,0.021471713
resp_rate,0.020310212
emergency,0.019084647
sys_bp,0.014627587
wbc,0.013789778
creatinine,0.010421983
lactate,0.0070995353
age_group_66-80,0.0059082503
age_group_31-50,0.005722123
age_group_51-65,0.0053711794
Erythromycin,0.0036400268
nursing_home_visit,0.0030683014
gender_male,0.0
has_any_procedure,0.0
procalcitonin,0.0
bun,0.0
neutrophils,0.0
lymphocytes,0.0
Amikacin,0.0
Amoxicillin/Clavulanic Acid,0.0
Ampicillin/Sulbactam,0.0
log_days_since_abx,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Aztreonam,0.0
Ceftazidime,0.0
Cefuroxime,0.0
Ceftriaxone,0.0
Doxycycline,0.0
Daptomycin,0.0
Clindamycin,0.0
Clarithromycin,0.0
Ciprofloxacin,0.0
age_group_19-30,0.0
age_group_80+,0.0
age_group_nan,0.0
