feature,importance
Gentamicin,0.13034458828109388
n_prior_meds,0.08117558408673281
Ceftazidime,0.06679199925830198
days_since_last_prior_organism,0.06374935034448523
adi_score,0.05548026206887127
n_prior_classes,0.04794658330837288
n_prior_organisms,0.04614187607928675
days_since_last_antibiotic,0.04262548210027595
Ampicillin,0.04200668641521424
n_abx_classes_exposed,0.0416491653357118
heartrate,0.04134675234936885
log_days_since_abx,0.03713785253028833
age,0.03548998393051309
adi_state_rank,0.032134478761712264
temperature,0.02773383898904869
sys_bp,0.025534325183316588
dias_bp,0.02276941250899149
wbc,0.01636811159374359
emergency,0.016043360891176903
inpatient,0.013980688047632162
age_group_19-30,0.012938079281434796
age_group_31-50,0.011983021417263998
resp_rate,0.010869451599959284
has_cvc,0.01045496717716171
outpatient,0.009630049674483148
age_group_66-80,0.009545273813143873
has_urinary_catheter,0.008682302349035236
lactate,0.007404178228988331
age_group_51-65,0.006600952832961938
Ciprofloxacin,0.0045553791980505395
age_group_nan,0.004076451746813224
icu,0.0038454920462899574
Clindamycin,0.003164863655702963
creatinine,0.0030141801535198106
age_group_80+,0.0029810956347376266
bun,0.0017762820793004747
Doxycycline,0.0012418668812880706
neutrophils,0.0002471451225210797
lymphocytes,0.00017637824051645683
nursing_home_visit,0.0001642279282727615
Erythromycin,9.010958562071747e-05
procalcitonin,8.845186569662305e-05
Ceftriaxone,1.9417423098599112e-05
has_any_procedure,0.0
gender_male,0.0
Ampicillin/Sulbactam,0.0
Amoxicillin/Clavulanic Acid,0.0
Amikacin,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Aztreonam,0.0
Daptomycin,0.0
Cefuroxime,0.0
Clarithromycin,0.0
