feature,mean_abs_shap
Gentamicin,0.07842727087128958
n_prior_meds,0.03805391126381784
Ceftazidime,0.03442935398864873
Ampicillin,0.03353493086878882
days_since_last_prior_organism,0.026918660331256637
n_abx_classes_exposed,0.022682258701650807
heartrate,0.019454438696798
adi_score,0.019103256347815244
age,0.018510904086498702
n_prior_classes,0.01771946089697268
inpatient,0.016079062002283363
adi_state_rank,0.01511708722684044
n_prior_organisms,0.015024060861730113
days_since_last_antibiotic,0.01390595318748066
emergency,0.012915017111511795
log_days_since_abx,0.012308323866125176
temperature,0.011175314368763161
age_group_19-30,0.009461343736850411
dias_bp,0.009001641249888934
age_group_66-80,0.007900727370721797
age_group_31-50,0.007759039513295263
sys_bp,0.006927599342900104
wbc,0.006149751296885312
has_cvc,0.005272846050856059
outpatient,0.0048554858184913586
resp_rate,0.0044240761745510645
lactate,0.003287773214825582
has_urinary_catheter,0.002695462233739539
icu,0.0026769485103144692
age_group_51-65,0.002339882772446678
Clindamycin,0.002065302211987674
Ciprofloxacin,0.002061306618479978
age_group_nan,0.001571270484064994
age_group_80+,0.0011386608744099445
bun,0.0007591958248904363
creatinine,0.0007431145359847452
Doxycycline,0.00057068165411797
nursing_home_visit,0.00012398105117262915
neutrophils,5.986380807841325e-05
lymphocytes,4.4031657207103936e-05
Erythromycin,2.337310878664481e-05
procalcitonin,2.20319950671545e-05
Ceftriaxone,7.248290198794418e-06
has_any_procedure,0.0
gender_male,0.0
Ampicillin/Sulbactam,0.0
Amoxicillin/Clavulanic Acid,0.0
Amikacin,0.0
Ceftaroline,0.0
Cefoxitin,0.0
Cefepime,0.0
Cefazolin,0.0
Aztreonam,0.0
Daptomycin,0.0
Cefuroxime,0.0
Clarithromycin,0.0
