antibiotic,tested,resistant,susceptible,prevalence
Amikacin,61993,21789,40204,0.3514751665510622
Amoxicillin/Clavulanic Acid,44259,19485,24774,0.44024944079170336
Ampicillin,52858,18215,34643,0.3446025199591358
Ampicillin/Sulbactam,9858,2672,7186,0.27104889429904644
Aztreonam,5902,2507,3395,0.42477126397831244
Cefazolin,11658,2088,9570,0.1791044776119403
Cefepime,5235,1099,4136,0.2099331423113658
Cefiderocol,3,0,3,0.0
Cefotaxime,5,1,4,0.2
Cefotetan,30,10,20,0.3333333333333333
Cefoxitin,689,128,561,0.18577648766328012
Cefpodoxime,0,0,0,
Ceftaroline,866,639,227,0.7378752886836027
Ceftazidime,1425,216,1209,0.15157894736842106
Ceftazidime/Avibactam,3,0,3,0.0
Ceftolozane/Tazobactam,0,0,0,
Ceftriaxone,1673,455,1218,0.2719665271966527
Cefuroxime,338,176,162,0.5207100591715976
Cephalexin/Cephalothin,16,0,16,0.0
Chloramphenicol,8,3,5,0.375
Ciprofloxacin,8768,1603,7165,0.18282390510948904
Clarithromycin,836,130,706,0.15550239234449761
Clindamycin,13881,7590,6291,0.5467905770477631
Colistin,1,0,1,0.0
Daptomycin,922,100,822,0.10845986984815618
Doripenem,0,0,0,
Doxycycline,311,45,266,0.14469453376205788
Ertapenem,1,0,1,0.0
Erythromycin,8062,612,7450,0.07591168444554701
Fosfomycin,2,0,2,0.0
Gentamicin,1270,369,901,0.2905511811023622
Imipenem,8,0,8,0.0
Imipenem/Ebactam,0,0,0,
Levofloxacin,1679,118,1561,0.07027992852888625
Linezolid,346,24,322,0.06936416184971098
Meropenem,92,16,76,0.17391304347826086
Meropenem/Vaborbactam,0,0,0,
Metronidazole,6,1,5,0.16666666666666666
Minocycline,28,3,25,0.10714285714285714
Moxifloxacin,28,1,27,0.03571428571428571
Nitrofurantoin,25,2,23,0.08
Oxacillin,60,0,60,0.0
Penicillin,58,1,57,0.017241379310344827
Piperacillin,0,0,0,
Piperacillin/Tazobactam,0,0,0,
Quinupristin/Dalfopristin,0,0,0,
Streptomycin,2,0,2,0.0
Tetracycline,0,0,0,
Ticacarcillin/Clavulanic Acid,39,8,31,0.20512820512820512
Ticarcillin,0,0,0,
Tigecycline,2,1,1,0.5
Tobramycin,6,0,6,0.0
Trimethoprim/Sulfamethoxazole,92,2,90,0.021739130434782608
Vancomycin,0,0,0,
