Feature,Mean |SHAP|
target_enc__Country_0,0.06016149446995098
num__Age,0.056619776690828336
target_enc__Country_2,0.04151365750013261
target_enc__Country_1,0.03747762164506772
num__YearCollected,0.02833743923320786
ohe__Region_Europe,0.025695518817405526
ohe__Region_Asia,0.02137258693046865
ohe__BodyLocation_Group_Other,0.012997529799502982
ohe__BodyLocation_Group_Blood,0.010982092871339307
ohe__BodyLocation_Group_Respiratory,0.009706998040560176
ohe__Region_Middle East,0.006298231706575017
ohe__Region_Africa,0.0027316609136798587
