Drug,Species,Task,Best_Model,Test_Accuracy,Test_F1_macro,Test_F1_weighted,Test_AUC,AP,Brier_Score,SHAP_Success,N_Test
Cefotaxime,Haemophilus influenzae,Binary (R vs Non-R),XGBoost,0.9376218323586745,0.9074216106474171,0.9386525566491609,0.9520541549953314,0.8208591998226717,0.05626597091245637,True,513
Ceftibuten,Haemophilus influenzae,Binary (R vs Non-R),RandomForest,0.8869395711500975,0.848262004814165,0.8812648702977213,0.858599902952484,0.8158001994709045,0.1263047733339655,True,513
Cefpodoxime,Haemophilus influenzae,Binary (R vs Non-R),RandomForest,0.8752436647173489,0.8406584873427551,0.8711918447738818,0.852319710219165,0.815031211729192,0.16803606636604387,True,513
Cefixime,Haemophilus influenzae,Binary (R vs Non-R),RandomForest,0.8674463937621832,0.8306996428016773,0.8625263266879731,0.8567356572258532,0.8252212315734199,0.16072562107059327,True,513
Ceftriaxone,Haemophilus influenzae,Binary (R vs Non-R),LogisticRegression,0.8947368421052632,0.8148262032085563,0.907541514213341,0.9335195125489627,0.5085063410073274,0.05741184605529621,True,513
Trimethoprim Sulfa,Haemophilus influenzae,Binary (R vs Non-R),LogisticRegression,0.7582846003898636,0.7493221941992434,0.7573606409887687,0.7541236306729265,0.7776499252292056,0.22333422814715462,True,513
Tetracycline,Haemophilus influenzae,Binary (R vs Non-R),XGBoost,0.9181286549707602,0.7389755766621438,0.9223440215191981,0.8700097370983447,0.506834753752551,0.056494822067694565,True,513
Tetracycline,Streptococcus pneumoniae,Binary (R vs Non-R),LogisticRegression,0.6908212560386473,0.6546402502606882,0.6762408507251414,0.7186113602754005,0.7546327745631832,0.22036996455666183,True,414
Doxycycline,Streptococcus pneumoniae,Binary (R vs Non-R),LogisticRegression,0.6714975845410628,0.637962962962963,0.653399534800501,0.6955698914492476,0.7041202557644078,0.21420358146434518,True,414
Levofloxacin,Haemophilus influenzae,Binary (R vs Non-R),RandomForest,0.5964912280701754,0.592927376229084,0.5823100676191657,0.5959541858932103,0.39360893562969224,0.23615728947421316,True,513
