Feature,Mean |SHAP|
ohe__Region_Africa,0.07194748417457812
num__YearCollected,0.04048762743351507
num__Age,0.03145985674106384
ohe__BodyLocation_Group_Respiratory,0.02854030381454396
target_enc__Country_2,0.023905864225769076
target_enc__Country_1,0.020193499671248574
ohe__BodyLocation_Group_Blood,0.014927351870185152
ohe__BodyLocation_Group_Other,0.013612951944358824
target_enc__Country_0,0.0037123645545207805
ohe__Region_Europe,1.5403367054994052e-16
ohe__Region_Asia,1.2935365809401113e-16
ohe__Region_Middle East,2.4680012455930254e-17
