Drug,Species,Task,Test_Accuracy,Test_F1_macro,Test_F1_weighted,Test_AUC,AP,Brier_Score,SHAP_Success,N_Test,Model_Path
Cefotaxime,Haemophilus influenzae,Binary (R vs Non-R),0.9376218323586745,0.9074216106474171,0.9386525566491609,0.9520541549953314,0.8208591998226717,0.05626597091245637,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Cefotaxime_Haemophilus_influenzae
Ceftibuten,Haemophilus influenzae,Binary (R vs Non-R),0.8869395711500975,0.848262004814165,0.8812648702977213,0.858599902952484,0.8158001994709045,0.1263047733339655,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Ceftibuten_Haemophilus_influenzae
Cefpodoxime,Haemophilus influenzae,Binary (R vs Non-R),0.8752436647173489,0.8406584873427551,0.8711918447738818,0.852319710219165,0.815031211729192,0.16803606636604387,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Cefpodoxime_Haemophilus_influenzae
Cefixime,Haemophilus influenzae,Binary (R vs Non-R),0.8674463937621832,0.8306996428016773,0.8625263266879731,0.8567356572258532,0.8252212315734199,0.16072562107059327,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Cefixime_Haemophilus_influenzae
Ceftriaxone,Haemophilus influenzae,Binary (R vs Non-R),0.8947368421052632,0.8148262032085563,0.907541514213341,0.9335195125489627,0.5085063410073274,0.05741184605529621,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Ceftriaxone_Haemophilus_influenzae
Trimethoprim Sulfa,Haemophilus influenzae,Binary (R vs Non-R),0.7582846003898636,0.7493221941992434,0.7573606409887687,0.7541236306729265,0.7776499252292056,0.22333422814715462,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Trimethoprim_Sulfa_Haemophilus_influenzae
Tetracycline,Haemophilus influenzae,Binary (R vs Non-R),0.9181286549707602,0.7389755766621438,0.9223440215191981,0.8700097370983447,0.506834753752551,0.056494822067694565,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Tetracycline_Haemophilus_influenzae
Tetracycline,Streptococcus pneumoniae,Binary (R vs Non-R),0.6908212560386473,0.6546402502606882,0.6762408507251414,0.7186113602754005,0.7546327745631832,0.22036996455666183,True,414,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Tetracycline_Streptococcus_pneumoniae
Doxycycline,Streptococcus pneumoniae,Binary (R vs Non-R),0.6714975845410628,0.637962962962963,0.653399534800501,0.6955698914492476,0.7041202557644078,0.21420358146434518,True,414,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Doxycycline_Streptococcus_pneumoniae
Trimethoprim Sulfa,Streptococcus pneumoniae,Binary (R vs Non-R),0.6884057971014492,0.6206178829446406,0.6547055197777788,0.7411214039547332,0.784869105659912,0.20149082335967747,True,414,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Trimethoprim_Sulfa_Streptococcus_pneumoniae
Ampicillin,Haemophilus influenzae,Multiclass (S/I/R),0.9025341130604289,0.6133659476395724,0.8746624282219263,0.9031161409776884,,0.06924182085655649,True,513,C:\Users\Adetokunbo\Desktop\villi\ml_output\phase9_training\Ampicillin_Haemophilus_influenzae
