Drug,Species,Total,S,I,R,NaN,Min_Class_Size,Recommendation
Amoxicillin Clavulanate fixed at 2,Haemophilus influenzae,2595,0,0,0,2595,2595,Multiclass
Amoxicillin Clavulanate fixed at 2,Streptococcus pneumoniae,2339,0,0,0,2339,2339,Multiclass
Amoxicillin Clavulanate,Haemophilus influenzae,2595,2336,201,58,0,58,Multiclass
Amoxicillin Clavulanate,Streptococcus pneumoniae,2339,841,363,328,807,328,Multiclass
Amoxicillin,Haemophilus influenzae,2595,986,172,533,904,172,Multiclass
Amoxicillin,Streptococcus pneumoniae,2339,1206,377,350,406,350,Multiclass
Ampicillin,Haemophilus influenzae,2595,2046,72,462,15,15,Binary
Ampicillin,Streptococcus pneumoniae,2339,148,377,0,1814,148,Multiclass
Azithromycin,Haemophilus influenzae,2595,2525,0,68,2,2,Binary
Azithromycin,Streptococcus pneumoniae,2339,1247,0,1082,10,10,Binary
Cefaclor,Haemophilus influenzae,2595,0,0,0,2595,2595,Multiclass
Cefaclor,Streptococcus pneumoniae,2339,0,0,0,2339,2339,Multiclass
Cefdinir,Haemophilus influenzae,2595,0,0,0,2595,2595,Multiclass
Cefdinir,Streptococcus pneumoniae,2339,0,0,0,2339,2339,Multiclass
Cefixime,Haemophilus influenzae,2595,1274,0,254,1067,254,Multiclass
Cefixime,Streptococcus pneumoniae,2339,0,0,0,2339,2339,Multiclass
Cefotaxime,Haemophilus influenzae,2595,1350,0,178,1067,178,Multiclass
Cefotaxime,Streptococcus pneumoniae,2339,694,277,22,1346,22,Binary
Cefpodoxime,Haemophilus influenzae,2595,1260,0,268,1067,268,Multiclass
Cefpodoxime,Streptococcus pneumoniae,2339,564,0,429,1346,429,Multiclass
Ceftibuten,Haemophilus influenzae,2595,1286,0,242,1067,242,Multiclass
Ceftibuten,Streptococcus pneumoniae,2339,0,0,0,2339,2339,Multiclass
Ceftriaxone,Haemophilus influenzae,2595,1443,0,113,1039,113,Multiclass
Ceftriaxone,Streptococcus pneumoniae,2339,1673,611,45,10,10,Binary
Cefuroxime,Haemophilus influenzae,2595,1886,440,269,0,269,Multiclass
Cefuroxime,Streptococcus pneumoniae,2339,726,59,719,835,59,Multiclass
Clarithromycin,Haemophilus influenzae,2595,2589,0,0,6,6,Binary
Clarithromycin,Streptococcus pneumoniae,2339,609,0,1067,663,609,Multiclass
Doxycycline,Haemophilus influenzae,2595,0,0,0,2595,2595,Multiclass
Doxycycline,Streptococcus pneumoniae,2339,532,0,461,1346,461,Multiclass
Erythromycin,Haemophilus influenzae,2595,0,0,0,2595,2595,Multiclass
Erythromycin,Streptococcus pneumoniae,2339,1259,0,1078,2,2,Binary
Levofloxacin,Haemophilus influenzae,2595,2271,0,322,2,2,Binary
Levofloxacin,Streptococcus pneumoniae,2339,0,2312,26,1,1,Binary
Moxifloxacin,Haemophilus influenzae,2595,2303,0,290,2,2,Binary
Moxifloxacin,Streptococcus pneumoniae,2339,2318,0,20,1,1,Binary
Penicillin,Haemophilus influenzae,2595,0,0,0,2595,2595,Multiclass
Penicillin,Streptococcus pneumoniae,2339,403,826,298,812,298,Multiclass
Tetracycline,Haemophilus influenzae,2595,1470,0,58,1067,58,Multiclass
Tetracycline,Streptococcus pneumoniae,2339,503,0,490,1346,490,Multiclass
Trimethoprim Sulfa,Haemophilus influenzae,2595,1458,0,1064,73,73,Multiclass
Trimethoprim Sulfa,Streptococcus pneumoniae,2339,1393,0,939,7,7,Binary
