Drug,Species,Total_Isolates,S,I,R,Min_Class,Class_Imbalance_Ratio,Recommended_Type,Recommended_Model,Validation_Strategy,Notes
Amoxicillin Clavulanate fixed at 2,Haemophilus influenzae,0,0,0,0,0,,Exclude - No Data,N/A,N/A,No isolates with SIR label.
Amoxicillin Clavulanate fixed at 2,Streptococcus pneumoniae,0,0,0,0,0,,Exclude - No Data,N/A,N/A,No isolates with SIR label.
Amoxicillin Clavulanate,Haemophilus influenzae,2595,2336,201,58,58,40.28,Multiclass (S/I/R),"XGBoost (primary), Random Forest (baseline)","Temporal (2014-2020 train, 2021 test) + Geographic (GroupKFold by Country)","All classes well-represented (S=2336, I=201, R=58)."
Amoxicillin Clavulanate,Streptococcus pneumoniae,1532,841,363,328,328,2.56,Multiclass (S/I/R),"XGBoost (primary), Random Forest (baseline)","Temporal (2014-2020 train, 2021 test) + Geographic (GroupKFold by Country)","All classes well-represented (S=841, I=363, R=328)."
Amoxicillin,Haemophilus influenzae,1691,986,172,533,172,5.73,Multiclass (S/I/R),"XGBoost (primary), Random Forest (baseline)","Temporal (2014-2020 train, 2021 test) + Geographic (GroupKFold by Country)","All classes well-represented (S=986, I=172, R=533)."
Amoxicillin,Streptococcus pneumoniae,1933,1206,377,350,350,3.45,Multiclass (S/I/R),"XGBoost (primary), Random Forest (baseline)","Temporal (2014-2020 train, 2021 test) + Geographic (GroupKFold by Country)","All classes well-represented (S=1206, I=377, R=350)."
Ampicillin,Haemophilus influenzae,2580,2046,72,462,72,28.42,Multiclass (S/I/R),"XGBoost (primary), Random Forest (baseline)","Temporal (2014-2020 train, 2021 test) + Geographic (GroupKFold by Country)","All classes well-represented (S=2046, I=72, R=462)."
Ampicillin,Streptococcus pneumoniae,525,148,377,0,0,inf,Binary (S vs I),"Logistic Regression, Random Forest","Temporal (2014-2020 train, 2021 test)",No R isolates. Predicting S vs I may inform de-escalation. SMOTE recommended due to class imbalance.
Azithromycin,Haemophilus influenzae,2593,2525,0,68,0,inf,Binary (R vs Non-R),"XGBoost, Logistic Regression","Temporal (2014-2020 train, 2021 test)",R=68; Non-R (S+I)=2525. Limited S/I separation. SMOTE recommended due to class imbalance.
Azithromycin,Streptococcus pneumoniae,2329,1247,0,1082,0,inf,Binary (R vs Non-R),"XGBoost, Logistic Regression","Temporal (2014-2020 train, 2021 test)",R=1082; Non-R (S+I)=1247. Limited S/I separation. SMOTE recommended due to class imbalance.
Cefaclor,Haemophilus influenzae,0,0,0,0,0,,Exclude - No Data,N/A,N/A,No isolates with SIR label.
Cefaclor,Streptococcus pneumoniae,0,0,0,0,0,,Exclude - No Data,N/A,N/A,No isolates with SIR label.
Cefdinir,Haemophilus influenzae,0,0,0,0,0,,Exclude - No Data,N/A,N/A,No isolates with SIR label.
Cefdinir,Streptococcus pneumoniae,0,0,0,0,0,,Exclude - No Data,N/A,N/A,No isolates with SIR label.
Cefixime,Haemophilus influenzae,1528,1274,0,254,0,inf,Binary (R vs Non-R),"XGBoost, Logistic Regression","Temporal (2014-2020 train, 2021 test)",R=254; Non-R (S+I)=1274. Limited S/I separation. SMOTE recommended due to class imbalance.
Cefixime,Streptococcus pneumoniae,0,0,0,0,0,,Exclude - No Data,N/A,N/A,No isolates with SIR label.
